date,AQI,PM2.5,PM10,SO2,NO2,O3,CO,l_temp,h_temp,temp,wet,wind,hpa,visibility,precipitation,cloud
2021/1/1,55.53,37.89,58.21,9.74,57.11,22.37,0.83,-2.7,3.9,0.1,45,0.1,1030,22.5,0,10
2021/1/2,72.88,53.17,64.71,9.29,65.96,26.58,0.9,-0.9,7,2.8,53,0.3,1030,14.7,0,8
2021/1/3,65.39,42.3,51.26,5.22,53.52,32.09,0.62,2,10.2,6.6,74,0.3,1030,17.1,0,10
2021/1/4,42.12,20.71,41.88,4.79,51.71,34.17,0.45,7.2,12.9,9.6,75,0.3,1027,17.7,0,36
2021/1/5,48.92,32.12,45.21,5.71,31.25,53.38,0.54,5,9.1,7.5,69,0.6,1029,14.9,0,76
2021/1/6,47.58,31.46,47,7.58,36.62,43.33,0.58,2.9,5,4.3,56,0.4,1028,16,0,92
2021/1/7,71,25.39,85.3,7.91,25.3,43.43,0.54,-6.6,2.5,-3.4,35,0.9,1034,23.3,0,85
2021/1/8,52.04,22.46,56.62,9.5,34.79,36.12,0.62,-7,-1.6,-4.2,29,0.4,1033,26.7,0,51
2021/1/9,60.79,36.04,71.25,11.92,58.54,22.25,0.86,-4.1,2.9,-0.8,32,0.2,1030,21.9,0,17
2021/1/10,73.46,53.71,84.46,14.17,71.88,18.29,1.07,-1.9,4.9,1.5,38,0.2,1030,16.4,0,33
2021/1/11,76.58,55.33,84.21,13.92,67.79,22.5,0.87,-0.2,5.9,2.8,35,0.2,1029,16,0,40
2021/1/12,96.33,40.42,142.08,9.92,62.04,25.58,0.64,-0.5,8.5,3.9,35,0.2,1023,15.2,0,10
2021/1/13,78.29,45.38,106.17,11.08,77.08,27.21,0.65,3,14.4,7.7,38,0.1,1018,15.3,0,10
2021/1/14,77.92,54.67,93.21,12.04,87.92,41.92,0.74,4.1,16.5,9.6,54,0.2,1018,14.3,0,12
2021/1/15,83.62,56.92,92.75,9.88,59.17,50.5,0.71,7.3,18.5,11.4,62,0.3,1018,13.2,0,10
2021/1/16,68.12,29,88.42,4.5,21.96,57.21,0.44,2.5,6.8,4.8,60,0.8,1029,19.8,0,40
2021/1/17,63.17,35.96,79.75,7.62,39,45.88,0.62,0.8,5.6,3.1,48,0.4,1033,15.7,0,10
2021/1/18,83.71,60.29,114.58,9.62,76.5,26.46,0.83,1.2,10.4,5.3,45,0.1,1026,11,0,10
2021/1/19,65.67,42.88,77.29,6.75,58.54,42.71,0.63,3.1,11.5,6.9,68,0.4,1027,15.5,0,10
2021/1/20,32.48,13.04,32.48,4.43,37.57,51.65,0.44,5.5,13.7,9.9,83,0.2,1024,19.7,0,20
2021/1/21,45.42,29.12,45.46,6.33,57.08,26.21,0.62,10.6,17.8,14.1,88,0.2,1019,8.2,0,43
2021/1/22,57.25,41.54,31.38,4.42,44.12,33.25,0.69,8.9,13.8,10.9,94,0.3,1018,5.6,5.9,65
2021/1/23,64.38,46.54,41.38,4,35.71,57.92,0.76,6.3,8.6,7.9,90,0.4,1019,4.4,1.8,62
2021/1/24,88.42,65.67,69.42,4.75,45.42,47.42,0.84,5.7,10.3,8.1,83,0.4,1024,5.2,0,30
2021/1/25,34.54,19.21,29.08,4.62,48.33,37.79,0.5,9.8,15.1,11.9,78,0.3,1021,17.3,0.6,43
2021/1/26,41.92,28.42,25.71,4.25,51.75,11.88,1.17,7.8,10.9,9,97,0.1,1021,4.7,6.2,90
2021/1/27,68.83,49.79,52.67,5.17,32.33,70.83,0.88,6.1,10.3,8.3,69,0.4,1023,8.5,0,53
2021/1/28,95.96,66.75,87.92,5.42,39.54,51.33,0.87,3.3,10.4,7.3,66,0.4,1025,8.2,0,52
2021/1/29,62.25,16.29,74.04,6.29,30.96,51.42,0.46,1.7,8.4,4.4,46,0.4,1029,25.9,0,10
2021/1/30,58.58,24.29,67.5,10.58,38.17,60.33,0.54,3.5,13.4,8.2,58,0.3,1026,20.2,0,12
2021/1/31,37.21,20.96,39.62,7.12,48.71,37.79,0.62,9.5,14.9,11.9,74,0.1,1022,21,0,55
2021/2/1,72.96,53.29,57.42,5.75,71.83,12.67,1.17,8.7,11.9,10.1,88,0.1,1020,5.2,8.5,90
2021/2/2,72.33,41.42,75.54,5.12,32.62,54.42,0.73,5.8,10.6,7.8,65,0.6,1027,15.2,0,40
2021/2/3,61.79,23.92,73.08,5.92,34.12,64.75,0.52,5.1,13.2,8.9,72,0.3,1025,16.7,0,10
2021/2/4,72.5,50.46,73.67,6.21,37,68.29,0.72,7,12.6,9.1,61,0.5,1027,10.8,0,12
2021/2/5,44.83,30.08,39.58,5,44.71,47.71,0.61,6.9,10,8.6,90,0.1,1021,8.6,4.9,65
