date,AQI,PM2.5,PM10,SO2,NO2,O3,CO,l_temp,h_temp,temp,wet,wind,hpa,visibility,precipitation,cloud
2019/9/1,57,32,49,8,45,95,1,25.7,20.2,22.8,87,0.1,1011,11.4,1,100
2019/9/2,100,35,54,11,38,159,1.1,30.6,20.7,25.5,74,0.6,1012,12.3,0.1,88
2019/9/3,74,23,39,9,25,128,0.9,30.6,22.4,26.3,64,1,1010,24.6,0,70
2019/9/4,91,25,44,9,27,149,0.9,32.2,21.1,26.9,63,1.6,1007,17.6,0,30
2019/9/5,124,29,54,12,38,186,1.2,32,23.4,27.1,67,1,1005,21.6,0,64
2019/9/6,95,25,47,9,30,153,0.9,32.9,21,27.2,66,1.1,1002,15.9,0,14
2019/9/7,116,27,53,9,37,177,0.9,33.2,20.3,26.4,69,1,1003,13.8,0,8
2019/9/8,139,38,77,13,55,202,1.1,35,20.5,27.4,65,0.5,1003,12.9,0,0
2019/9/9,152,46,79,14,40,217,1.2,35.3,22.4,29.2,54,0.9,1003,11.9,0,4
2019/9/10,148,43,73,14,31,212,1.2,35.7,26.1,30.8,52,1.9,1007,13.8,0,70
2019/9/11,157,39,68,13,36,222,1,35.8,25.8,30.2,64,1,1010,12.8,0,50
2019/9/12,157,47,81,12,37,222,1.1,36.7,26.1,30.9,67,0.6,1008,8.9,0,26
2019/9/13,150,44,76,12,22,214,1,37.2,27.1,31.7,62,1.6,1007,11.5,0,54
2019/9/14,77,26,48,9,16,132,0.9,31.2,25.4,27.6,60,2.8,1010,18.1,0,74
2019/9/15,67,33,57,10,22,120,1,30,21.9,25.7,73,1.6,1010,13.9,0,94
2019/9/16,50,29,50,8,20,87,0.7,25.3,21.3,23.2,73,2,1011,11.5,0,100
2019/9/17,47,27,47,9,22,86,0.8,24.6,21,22.6,75,2.1,1014,13.6,0,100
2019/9/18,49,33,49,8,25,71,0.8,22.6,19.4,21,88,2.1,1018,7.1,0.5,100
2019/9/19,110,34,70,12,34,171,1,28.5,20.1,23.8,69,1,1016,12.1,0,100
2019/9/20,68,15,45,10,29,121,0.6,28.5,17.2,22.4,57,1.4,1014,22.5,0,76
2019/9/21,89,20,45,10,27,146,0.6,29.3,15.3,22.9,58,2.3,1014,21.5,0,18
2019/9/22,91,23,53,11,30,149,0.7,30.7,16.6,22.8,54,2.1,1017,20.9,0,23
2019/9/23,96,23,54,12,37,155,0.7,30.7,14.1,22.1,66,0.9,1018,16.8,0,38
2019/9/24,101,28,61,15,63,161,0.8,31,15.8,23.4,60,0.6,1018,18.4,0,100
2019/9/25,103,39,86,18,85,145,1,30.7,19.6,23.9,63,0,1018,14.3,0,92
2019/9/26,105,47,97,16,86,165,1.1,31.1,17.4,23.3,68,0.4,1018,12.1,0,74
2019/9/27,97,38,75,16,61,156,0.9,31.7,16,23,66,0.4,1017,13.4,0,22
2019/9/28,132,45,79,14,70,195,1,32.4,15.1,22.9,68,0.4,1015,12,0,46
2019/9/29,140,49,91,14,80,203,1.1,33.4,16.1,24.1,63,0.4,1013,9.7,0,12
2019/9/30,130,44,81,17,63,192,1.1,34.1,16.2,24.6,66,0.3,1010,10.9,0,20
2019/10/1,130,34,60,15,44,193,0.9,33.6,17.8,24.8,61,0.4,1009,15,0,25
2019/10/2,107,35,58,12,40,167,0.9,31.4,18.6,24,72,0.4,1009,10.5,0,70
2019/10/3,124,44,72,13,51,186,1.1,34.3,20.2,26.1,70,0.3,1008,11.3,0,80
2019/10/4,151,50,89,14,45,216,1.1,35.3,20.5,27.7,64,1.4,1008,10.9,0,36
2019/10/5,50,30,50,7,18,86,0.8,22.6,16.8,19.8,81,3.8,1016,19.4,6,100
2019/10/6,29,16,24,8,23,29,0.7,18.7,15.8,17.4,88,2,1018,13.8,0,100
2019/10/7,38,7,15,6,19,76,0.6,20.4,14.7,17,78,1.5,1020,26.1,0,92
2019/10/8,38,11,20,7,22,76,0.7,21.4,16.8,18.6,75,2,1020,25.5,0,100
2019/10/9,51,23,37,10,39,101,0.9,25.3,15.7,20.7,77,0.8,1014,18,0,92
2019/10/10,58,39,66,9,44,69,1,24.1,19.1,21.1,84,1.5,1011,8.4,0,88
2019/10/11,38,22,31,7,30,63,0.9,23.2,17.4,20,84,0.8,1013,11,8.3,96
